node_id,degree,name,kind,longitude,latitude,terrain_elevation_m,terrain_source,radome_height_agl_m,target_altitude_m,coverage_radius_km,nearby_city_count,radius_status
capital:5002704,1,Campo Grande,capital,-54.61854011,-20.4685544869999,525.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,321.565,82,geometric_upper_bound_topographic_occlusion_pending
airport:-54.66937366:-20.45758420,1,Aeroporto Internacional de Campo Grande,airport,-54.669373660925615,-20.457584203585792,555.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,324.19,81,geometric_upper_bound_topographic_occlusion_pending
capital:1501402,1,Belém,capital,-48.5044302009999,-1.45635618399996,7.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,245.114,72,geometric_upper_bound_topographic_occlusion_pending
airport:-48.47960034:-1.38975786,1,Aeroporto Internacional  Val de Cans,airport,-48.479600343723504,-1.38975785929759,6.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,244.67,72,geometric_upper_bound_topographic_occlusion_pending
capital:5103403,1,Cuiabá,capital,-56.0978564219999,-15.6006662149999,177.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,282.895,57,geometric_upper_bound_topographic_occlusion_pending
airport:-56.12028565:-15.65102436,1,Aeroporto Internacional Marechal Rondon,airport,-56.12028565108113,-15.651024358921442,186.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,284.218,56,geometric_upper_bound_topographic_occlusion_pending
airport:-60.10295473:-12.69312009,0,Aeroporto Vilhena,airport,-60.1029547333863,-12.693120093064506,612.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,328.993,48,geometric_upper_bound_topographic_occlusion_pending
airport:-61.18048610:-11.64425103,1,Aeroporto Pimenta Bueno ,airport,-61.18048610360694,-11.64425103099459,202.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,286.5,47,geometric_upper_bound_topographic_occlusion_pending
airport:-61.85015884:-10.87646860,1,Aeroporto Ji-Paraná ,airport,-61.85015884202568,-10.876468596048147,175.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,282.597,46,geometric_upper_bound_topographic_occlusion_pending
airport:-56.45021228:-21.24359165,0,Aeroporto Bonito,airport,-56.45021227611688,-21.243591646053638,329.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,302.23,45,geometric_upper_bound_topographic_occlusion_pending
airport:-56.10515258:-9.87233596,0,Aeroporto Piloto Osvaldo Marques Dias,airport,-56.105152577490266,-9.87233595606331,286.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,297.292,30,geometric_upper_bound_topographic_occlusion_pending
airport:-57.03565402:-29.78394923,0,Aeroporto Rubem Berta,airport,-57.03565401869715,-29.78394922614632,75.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,264.884,28,geometric_upper_bound_topographic_occlusion_pending
capital:1600303,1,Macapá,capital,-51.066448717999904,0.03865462300007,10.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,246.39,25,geometric_upper_bound_topographic_occlusion_pending
airport:-51.06725027:0.04996988,1,Aeroporto Alberto Alcolumbre,airport,-51.06725027107295,0.049969877441988,17.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,249.098,25,geometric_upper_bound_topographic_occlusion_pending
airport:-60.04493225:-3.03171866,1,Aeroporto internacional Eduardo Gomes,airport,-60.04493225216448,-3.031718663826841,69.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,263.558,25,geometric_upper_bound_topographic_occlusion_pending
capital:1302603,1,Manaus,capital,-60.0255074129999,-3.10236266499993,30.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,253.431,23,geometric_upper_bound_topographic_occlusion_pending
capital:1100205,1,Porto Velho,capital,-63.8314456543611,-8.76889179,88.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,267.613,21,geometric_upper_bound_topographic_occlusion_pending
airport:-54.78636188:-2.42477604,0,Aeroporto Internacional Maestro Wilson Fonseca,airport,-54.78636187746423,-2.424776038313524,59.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,261.238,21,geometric_upper_bound_topographic_occlusion_pending
airport:-63.89843237:-8.71439573,1,Aeroporto Internacional Governador Jorge Texeira de Oliveira,airport,-63.89843237495105,-8.714395734548706,88.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,267.613,20,geometric_upper_bound_topographic_occlusion_pending
capital:1200401,2,Rio Branco,capital,-67.7903522567552,-10.0097268232308,140.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,277.097,16,geometric_upper_bound_topographic_occlusion_pending
airport:-68.48579952:-10.66575766,2,Aeroporto Xapuri ,airport,-68.4857995248337,-10.665757659894608,183.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,283.78,15,geometric_upper_bound_topographic_occlusion_pending
airport:-67.89715245:-9.86656688,2,Aeroporto Plácido de Castro,airport,-67.8971524494631,-9.866566882022735,186.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,284.218,15,geometric_upper_bound_topographic_occlusion_pending
capital:1400100,1,Boa Vista,capital,-60.673511017,2.81967043300006,84.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,266.793,15,geometric_upper_bound_topographic_occlusion_pending
airport:-60.69215437:2.84116684,1,Aeroporto Atlas Brasil Catanhede,airport,-60.69215437389652,2.841166841733541,82.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,266.376,15,geometric_upper_bound_topographic_occlusion_pending
airport:-70.77986450:-8.15781393,0,Aeroporto Tarauacá ,airport,-70.77986449642061,-8.157813928616205,182.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,283.634,15,geometric_upper_bound_topographic_occlusion_pending
airport:-61.11720717:1.85076911,0,Aeroporto Caracaraí,airport,-61.117207167666244,1.850769113473502,53.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,259.77,12,geometric_upper_bound_topographic_occlusion_pending
airport:-72.77350692:-7.59615358,0,Aeroporto Internacional de Cruzeiro do Sul,airport,-72.77350692299245,-7.596153582510508,200.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,286.219,10,geometric_upper_bound_topographic_occlusion_pending
airport:-61.27921594:-5.80949661,0,Aeroporto Manicoré ,airport,-61.27921593502397,-5.809496613660382,40.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,256.349,10,geometric_upper_bound_topographic_occlusion_pending
airport:-69.88247389:-6.63907667,0,Aeroporto Eirunepé,airport,-69.8824738888889,-6.639076666666649,122.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,274.026,10,geometric_upper_bound_topographic_occlusion_pending
airport:-63.13527643:-4.13153062,0,Aeroporto Coari,airport,-63.13527643234195,-4.131530616337211,44.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,257.441,9,geometric_upper_bound_topographic_occlusion_pending
airport:-65.34832361:-4.88553322,0,Aeroporto Urucu-Coari,airport,-65.3483236127109,-4.885533220147624,73.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,264.447,8,geometric_upper_bound_topographic_occlusion_pending
airport:-66.90013085:-4.87643764,0,Aeroporto Carauari,airport,-66.90013084818375,-4.876437637648781,83.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,266.585,7,geometric_upper_bound_topographic_occlusion_pending
airport:-57.66346952:-19.01404431,0,Aeroporto Corumbá,airport,-57.663469517877694,-19.014044314353423,145.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,277.919,7,geometric_upper_bound_topographic_occlusion_pending
airport:-69.93923227:-4.25040680,0,Aeroporto Tabatinga,airport,-69.93923226646449,-4.25040680165655,80.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,265.956,6,geometric_upper_bound_topographic_occlusion_pending
airport:-66.99467365:-0.15465992,0,Aeroporto São Gabriel da Cachoeira / São Joaquim,airport,-66.99467365059952,-0.154659923819629,86.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,267.205,4,geometric_upper_bound_topographic_occlusion_pending
