candidate_id,longitude,latitude,elevation_m,nearest_named_peak,nearest_city,nearest_city_km,cities_within_radius,occupied_azimuth_sectors,logistics_radius_km,screening_score
BC250-102,-59.45888888908099,-16.063333410530632,1118.0,,Pontes e Lacerda,93.4838091746639,19,4,250.0,0.34302347890024565
BC250-15,-50.13027777777778,-6.321944444444444,770.0,,Parauapebas,38.15701856956714,55,6,250.0,0.3377487672587001
BC250-6,-63.90277777777778,-10.893055555555556,810.0,,Campo Novo de Rondônia,47.29818951461078,36,6,250.0,0.3309511970802463
BC250-14,-50.514722222222225,-7.105555555555555,775.0,,Bannach,29.779551685012194,39,6,250.0,0.32563663029846784
BC250-84,-57.59277777777778,-19.20138888888889,1065.4,Morro Grande,Ladário,21.840537227872172,7,3,250.0,0.2753993970015298
BC250-90,-57.56472219085799,-17.923055622585096,976.0,,Ladário,120.40713279445596,5,3,250.0,0.24256428427344753
BC250-17,-52.7,1.7541666666666667,607.0,,Serra do Navio,122.78283083628382,9,3,250.0,0.17422491975095356
BC250-107,-73.75913721383712,-7.173919159866354,609.0,,Mâncio Lima,106.15127307520432,7,3,250.0,0.16587653974440064
BC250-39,-73.62804533308962,-8.056129891269945,505.0,,Mâncio Lima,93.64016177264125,8,3,250.0,0.14557943449020191
BC250-108,-73.33213770817534,-8.476334841474165,495.0,,Porto Walter,68.47566451245245,8,3,250.0,0.14317972245564606
BC250-16,-53.12916666666667,1.8416666666666668,701.0,,Serra do Navio,163.44756306315793,5,1,250.0,0.13907220332316156
BC250-11,-57.5,1.75,906.0,,Caroebe,262.7488117598803,0,0,250.0,0.09862816462024557
BC250-18,-53.21666666666667,2.0208333333333335,562.0,,Serra do Navio,183.90052004944286,3,1,250.0,0.08967461899850017
BC250-99,-54.87111262882643,2.436110980663866,656.0,,Serra do Navio,361.9236312829126,0,0,250.0,0.03863536375634923
BC250-111,-54.43619226594401,2.2102159198697233,591.0,,Serra do Navio,307.46804203319715,0,0,250.0,0.02303723553173619
